TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EGIE3;44,09;7,52;12,40;3,89;0,91;48,84;50,99;24,67;6,00;8,42;2,44;1,58;3,06;27,55;-1,14;1,19;31,37;7,32;19,81;0,23;0,77;0,30;11,18;7,68;75.958.728,72;11,33;3,55;0,17;35.876.342.727,80
EKTR3;34,92;13,15;7,08;2,15;0,66;26,84;21,56;11,25;3,70;6,28;2,47;1,43;0,80;12,53;-0,92;1,23;30,29;9,32;17,36;0,31;0,69;0,83;7,62;20,59;3.492,00;16,27;4,93;2,75;6.977.980.383,24
EKTR4;37,00;13,65;7,51;2,27;0,70;26,84;21,56;11,25;3,92;6,28;2,47;1,43;0,84;13,28;-0,97;1,23;30,29;9,32;17,36;0,31;0,69;0,83;7,62;20,59;37.591,43;16,27;4,93;2,91;6.977.980.383,24
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELET3;38,99;0,57;63,54;0,81;0,34;52,56;25,22;4,15;10,46;14,71;4,12;0,32;2,64;3,62;-0,41;2,05;1,28;0,53;4,90;0,41;0,59;0,13;2,97;;390.879.088,31;48,06;0,61;-0,80;91.115.814.542,26
ELET5;70,51;2,91;114,91;1,47;0,61;52,56;25,22;4,15;18,91;14,71;4,12;0,32;4,77;6,54;-0,74;2,05;1,28;0,53;4,90;0,41;0,59;0,13;2,97;;11.605,00;48,06;0,61;-1,45;91.115.814.542,26
ELET6;43,95;3,40;71,63;0,91;0,38;52,56;25,22;4,15;11,79;14,71;4,12;0,32;2,97;4,08;-0,46;2,05;1,28;0,53;4,90;0,41;0,59;0,13;2,97;;115.903.671,62;48,06;0,61;-0,91;91.115.814.542,26
ELMD3;16,20;;80,42;2,92;1,09;42,01;18,21;3,21;14,19;17,40;3,21;0,66;2,58;-9,20;-1,36;0,63;3,63;1,36;9,32;0,37;0,55;0,42;37,68;;1.342.963,07;5,55;0,20;-0,04;2.267.736.798,60
ELPL3;8,31;;1,00;0,58;0,05;24,50;19,37;8,58;0,44;2,06;1,62;2,12;0,09;-3,33;-0,07;0,94;58,18;5,44;28,71;0,09;0,91;0,63;7,49;;;14,25;8,29;0,04;1.640.949.623,22
EMAE3;25,35;7,12;15,33;0,82;0,46;9,44;-4,64;11,35;-37,50;-53,29;17,91;-0,39;1,74;1,19;-0,83;7,47;5,35;3,01;-2,69;0,56;0,44;0,27;20,52;-12,50;;30,94;1,65;-0,29;1.778.457.454,30
EMAE4;63,20;3,14;38,21;2,04;1,15;9,44;-4,64;11,35;-93,49;-53,29;17,91;-0,39;4,34;2,97;-2,08;7,47;5,35;3,01;-2,69;0,56;0,44;0,27;20,52;-12,50;187.049,07;30,94;1,65;-0,73;1.778.457.454,30
EMBR3;19,42;;-12,49;1,12;0,27;19,41;-2,56;-4,78;-23,33;-34,12;-10,78;0,52;0,60;1,10;-0,64;1,75;-8,99;-2,17;-2,31;0,24;0,73;0,45;4,54;;176.192.071,07;17,29;-1,55;0,00;14.387.235.804,92
ENAT3;14,18;1,06;6,28;0,90;0,48;48,74;35,69;30,13;5,30;5,23;-0,02;0,00;1,89;4,01;-0,68;1,65;14,37;7,59;7,65;0,53;0,47;0,25;34,10;10,92;24.165.246,97;15,71;2,26;-0,11;3.726.612.808,10
ENBR3;23,41;6,07;13,81;1,22;0,37;30,13;19,68;5,63;3,95;6,90;2,95;0,91;0,78;-14,27;-0,49;0,91;8,82;2,65;10,44;0,30;0,67;0,47;6,98;10,00;56.053.400,69;19,22;1,70;-0,25;13.610.890.576,56
ENEV3;12,50;;47,86;1,57;0,47;32,90;21,56;5,29;11,74;21,72;10,09;1,35;2,53;-618,88;-0,53;0,99;3,28;0,99;4,67;0,30;0,67;0,19;17,63;34,08;107.887.077,79;7,95;0,26;-0,75;19.632.851.763,42
ENGI11;46,17;4,25;9,28;1,66;0,30;27,35;21,69;7,65;3,27;7,06;3,80;1,93;0,71;7,81;-0,41;1,18;17,88;3,28;12,02;0,18;0,77;0,43;14,21;29,43;144.550.382,62;27,83;4,98;-0,58;18.767.752.514,16
ENGI3;14,03;2,79;14,10;2,52;0,46;27,35;21,69;7,65;4,97;7,06;3,80;1,93;1,08;11,87;-0,62;1,18;17,88;3,28;12,02;0,18;0,77;0,43;14,21;29,43;118.473,41;5,57;1,00;-0,89;18.767.752.514,16
ENGI4;8,02;4,89;8,06;1,44;0,26;27,35;21,69;7,65;2,84;7,06;3,80;1,93;0,62;6,79;-0,36;1,18;17,88;3,28;12,02;0,18;0,77;0,43;14,21;29,43;180.806,52;5,57;1,00;-0,51;18.767.752.514,16
ENJU3;1,34;;-6,04;0,71;0,63;38,21;-50,63;-30,79;-3,67;0,48;4,12;-0,80;1,86;0,88;-3,47;8,57;-11,82;-10,51;-19,43;0,89;0,11;0,34;32,86;;1.542.547,48;1,88;-0,22;0,10;266.323.434,72
ENMA3B;50,49;5,53;12,25;2,30;1,00;29,34;19,22;13,43;8,56;;1,64;0,44;1,65;17,05;-1,39;1,26;18,74;8,14;15,06;0,43;0,57;0,61;7,52;6,69;;22,00;4,12;-0,53;
ENMA6B;83,99;3,32;20,38;3,82;1,66;29,34;19,22;13,43;14,24;;1,64;0,44;2,74;28,36;-2,32;1,26;18,74;8,14;15,06;0,43;0,57;0,61;7,52;6,69;;22,00;4,12;-0,87;
ENMT3;71,01;6,06;14,50;5,27;1,30;31,38;25,78;15,24;8,57;11,10;2,53;1,55;2,21;62,10;-1,77;1,09;36,34;8,99;20,43;0,25;0,75;0,59;13,11;195,34;27.267,56;13,48;4,90;-2,84;15.544.198.845,09
ENMT4;70,99;6,06;14,49;5,27;1,30;31,38;25,78;15,24;8,57;11,10;2,53;1,55;2,21;62,08;-1,76;1,09;36,34;8,99;20,43;0,25;0,75;0,59;13,11;195,34;27.595,38;13,48;4,90;-2,84;15.544.198.845,09
EPAR3;13,30;;3,21;1,62;0,67;16,41;8,46;5,47;2,08;2,41;0,33;0,26;0,18;2,50;-2,47;1,59;50,55;20,98;34,31;0,42;0,58;3,83;38,18;;11.500,61;8,20;4,14;-0,25;197.645.554,40
EQPA3;6,10;8,25;8,09;4,08;1,04;32,75;23,65;18,57;6,35;8,29;1,93;1,24;1,50;11,83;-1,54;1,38;50,45;12,91;22,09;0,26;0,74;0,70;10,57;22,12;61.059,11;1,50;0,75;0,22;13.494.857.501,14
EQPA5;8,49;5,93;11,25;5,68;1,45;32,75;23,65;18,57;8,83;8,29;1,93;1,24;2,09;16,47;-2,15;1,38;50,45;12,91;22,09;0,26;0,74;0,70;10,57;22,12;864,00;1,50;0,75;0,30;13.494.857.501,14
EQPA6;10,48;4,80;13,89;7,01;1,79;32,75;23,65;18,57;10,90;8,29;1,93;1,24;2,58;20,33;-2,65;1,38;50,45;12,91;22,09;0,26;0,74;0,70;10,57;22,12;;1,50;0,75;0,38;13.494.857.501,14
EQPA7;7,01;7,18;9,29;4,69;1,20;32,75;23,65;18,57;7,29;8,29;1,93;1,24;1,73;13,60;-1,77;1,38;50,45;12,91;22,09;0,26;0,74;0,70;10,57;22,12;2.103,00;1,50;0,75;0,25;13.494.857.501,14
EQTL3;30,65;1,14;36,15;1,95;0,37;29,76;18,69;3,04;5,89;11,45;5,57;1,85;1,10;4,20;-0,50;1,56;5,39;1,03;8,40;0,19;0,78;0,34;24,50;-0,81;261.978.389,07;15,73;0,85;-0,48;34.557.052.923,00
ESPA3;1,78;;-12,50;0,72;0,28;35,84;11,49;-5,47;5,95;12,55;6,63;0,81;0,68;1,85;-0,48;1,56;-5,79;-2,23;5,24;0,38;0,61;0,41;36,16;;3.307.068,52;2,46;-0,14;0,09;639.718.826,82
ESTR3;20,22;;-3,18;-0,31;0,64;49,89;13,71;-29,57;6,87;7,02;3,18;;0,94;-0,29;-1,27;0,18;-9,74;-20,19;-5,28;-2,07;3,07;0,68;4,32;;26.464,50;-65,21;-6,35;-0,06;91.289.660,00
ESTR4;6,83;;-1,07;-0,10;0,22;49,89;13,71;-29,57;2,32;7,02;3,18;;0,32;-0,10;-0,43;0,18;-9,74;-20,19;-5,28;-2,07;3,07;0,68;4,32;;49.868,15;-65,21;-6,35;-0,02;91.289.660,00
ETER3;11,92;5,76;6,28;1,06;0,63;30,19;12,11;9,59;4,97;5,20;0,22;0,05;0,60;1,74;-1,40;2,92;16,94;10,04;16,29;0,59;0,41;1,05;12,27;;3.142.298,48;11,21;1,90;-0,12;738.230.071,25
EUCA3;16,42;4,37;6,11;0,73;0,40;31,48;12,78;9,61;4,59;5,22;1,56;0,25;0,59;3,01;-0,63;1,58;11,93;6,53;10,80;0,55;0,45;0,68;15,81;42,80;124.574,61;22,53;2,69;-0,12;1.212.483.672,28
EUCA4;11,46;6,89;4,26;0,51;0,28;31,48;12,78;9,61;3,21;5,22;1,56;0,25;0,41;2,10;-0,44;1,58;11,93;6,53;10,80;0,55;0,45;0,68;15,81;42,80;448.267,72;22,53;2,69;-0,08;1.212.483.672,28
EVEN3;6,71;2,24;9,78;0,72;0,21;21,95;6,56;5,80;8,65;7,98;-0,67;-0,06;0,57;0,43;-0,91;2,73;7,35;2,14;2,79;0,29;0,59;0,37;10,85;;6.055.193,10;9,34;0,69;-0,86;1.409.100.000,00
EZTC3;19,09;1,50;16,08;0,94;0,75;31,58;17,69;24,18;21,98;20,97;-0,94;-0,04;3,89;2,07;-1,36;5,48;5,81;4,68;3,03;0,81;0,18;0,19;2,72;-6,08;46.604.684,24;20,42;1,19;-0,37;4.205.422.630,09
